Lokasi,Negara,Latitude,Longitude,Tanggal,Waktu,Suhu_C,Terasa_C,Kondisi,Kelembapan_pct,Peluang_Hujan_pct,Curah_Hujan_mm,Kecepatan_Angin_kph,Tekanan_mb,Tutupan_Awan_pct,UV
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 00:00:00,19.9,22.1,Overcast,87,28,0.0,2.5,1015.0,100,0.0
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 01:00:00,19.6,21.7,Smoky haze,88,27,0.0,2.9,1014.0,96,0.0
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 02:00:00,19.4,21.5,Smoky haze,88,28,0.0,2.2,1014.0,98,0.0
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 03:00:00,19.2,21.2,Smoky haze,88,18,0.0,2.5,1014.0,52,0.0
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 04:00:00,19.1,20.6,Smoky haze,87,13,0.0,4.3,1014.0,9,0.0
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 05:00:00,19.0,20.5,Smoky haze,86,12,0.0,4.0,1014.0,5,0.0
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 06:00:00,19.1,20.6,Smoky haze,84,16,0.0,4.0,1015.0,49,0.0
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 07:00:00,21.4,23.2,Smoky haze,74,9,0.0,3.6,1015.0,28,0.7
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 08:00:00,23.8,25.3,Smoky haze,65,4,0.0,4.0,1016.0,3,2.6
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 09:00:00,26.1,27.1,Smoky haze,56,3,0.0,4.3,1016.0,5,5.8
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 10:00:00,28.3,28.5,Smoky haze,47,2,0.0,4.7,1015.0,5,9.3
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 11:00:00,29.8,29.6,Patchy rain nearby,41,8,0.03,6.1,1013.0,74,11.0
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 12:00:00,30.4,30.0,Patchy rain nearby,38,5,0.01,9.4,1012.0,58,11.1
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 13:00:00,30.2,30.0,Patchy rain nearby,39,7,0.02,8.6,1011.0,75,7.7
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 14:00:00,28.8,28.8,Patchy rain nearby,44,11,0.01,7.2,1010.0,100,3.1
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 15:00:00,25.6,26.2,Light drizzle,58,38,0.35,9.4,1011.0,100,1.2
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 16:00:00,23.0,24.1,Light rain shower,75,54,0.63,9.4,1011.0,99,0.5
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 17:00:00,22.8,24.6,Light rain shower,76,64,1.09,6.1,1012.0,98,0.1
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 18:00:00,23.0,25.1,Light rain shower,74,36,0.42,4.3,1012.0,56,0.0
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 19:00:00,22.5,25.0,Patchy rain nearby,77,23,0.09,1.8,1013.0,72,0.0
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 20:00:00,22.1,24.7,Patchy rain nearby,79,21,0.04,1.4,1014.0,79,0.0
Bandung,Indonesia,-6.9039,107.6186,2026-09-23,2026-09-23 21:00:00,21.2,23.8,Patchy rain nearby,82,24,0.02,1.4,1015.0,89,0.0
